TEST_AGE,CERT_GBN,TEST_SEX,ITEM_F001,ITEM_F002
73,하,M,170.9,78.2
68,중,F,151.2,53.3
82,하,F,154.0,41.7
86,하,F,144.1,47.5
78,하,F,145.4,49.6
80,중,F,152.2,62.2
41,하,F,161.4,47.92
31,하,M,173.4,60.4
55,하,F,152.0,56.5
75,하,M,169.0,69.0
22,하,M,167.0,59.6
48,하,F,155.0,64.7
48,하,M,172.3,66.4
21,하,M,168.4,110.7
58,하,M,162.9,71.4
37,하,M,142.7,44.6
53,하,F,154.0,69.9
51,하,F,155.2,70.1
50,하,F,159.3,57.4
48,하,F,161.9,64.8
24,하,M,162.6,73.2
50,하,F,156.9,74.6
79,하,F,153.5,56.6
27,하,M,168.7,62.9
56,하,F,155.3,58.4
73,하,F,148.0,72.6
77,하,F,140.0,47.1
26,하,M,172.5,69.1
19,하,F,169.4,63.32
13,하,F,164.0,54.7
14,하,F,153.0,41.2
14,하,F,161.0,58.3
14,하,F,151.0,43.8
14,하,F,158.0,60.7
14,하,F,158.0,53.1
14,하,F,162.0,56.4
14,중,F,149.0,43.2
42,하,F,160.4,58.5
71,상,F,153.0,52.2
42,하,F,147.0,46.3
56,하,F,163.6,59.3
42,하,F,154.0,57.5
29,중,F,154.3,50.7
33,하,F,162.7,44.6
24,하,F,160.5,54.12
20,하,F,176.0,63.32
47,하,F,166.7,59.64
22,하,F,169.2,66.52
68,중,F,151.8,50.4
21,하,F,157.4,47.5
24,하,M,165.6,61.68
47,하,M,175.0,64.5
64,하,F,146.9,52.7
52,하,F,160.0,60.7
47,하,F,161.0,59.7
39,하,F,164.3,52.7
59,하,F,155.5,53.6
34,하,F,159.0,61.4
41,하,F,159.9,53.3
41,하,F,164.8,51.3
38,하,F,156.5,57.2
42,하,F,166.3,52.4
20,하,M,174.8,59.5
25,하,M,179.4,62.1
26,하,M,164.9,65.8
23,하,M,174.7,60.8
20,하,F,166.7,82.5
26,하,M,179.3,105.8
20,하,F,159.6,57.2
22,하,F,158.8,73.2
24,하,F,160.7,48.8
64,하,F,156.4,51.44
48,하,F,154.0,65.56
23,하,M,178.2,68.44
77,상,M,164.8,63.9
60,하,F,160.1,64.7
25,상,F,166.8,45.68
27,중,F,163.8,52.7
70,하,F,166.0,55.8
71,하,M,166.2,62.3
72,하,F,140.7,42.0
25,하,M,169.5,67.6
20,하,F,165.4,50.7
79,하,F,154.9,69.2
50,하,F,162.5,55.7
75,하,F,150.5,56.1
80,하,F,155.5,70.4
25,하,M,178.8,84.8
82,하,F,150.9,55.5
74,하,F,148.3,56.4
73,하,F,151.0,57.7
74,하,F,144.6,60.2
28,하,M,176.3,90.3
41,하,F,160.6,55.3
74,하,F,156.3,57.1
48,하,F,161.5,55.18
42,중,F,161.6,53.26
74,하,F,149.1,51.6
71,하,F,147.8,60.3
71,하,F,149.5,55.8
52,하,F,152.4,47.0
25,하,M,152.7,44.6
74,하,M,175.0,61.3
24,하,F,171.6,73.4
26,하,M,179.8,73.7
67,하,M,169.0,61.8
41,하,F,154.5,63.9
24,하,F,157.9,49.8
47,하,F,156.5,52.4
52,하,F,152.1,43.9
25,하,M,162.3,49.0
22,하,F,158.5,55.0
48,하,F,152.9,45.7
14,하,F,139.3,38.9
14,하,M,135.0,36.6
14,하,F,123.8,29.3
33,하,M,172.0,68.93
69,하,F,155.9,57.1
17,하,M,177.5,69.8
17,하,M,181.4,87.4
17,하,M,162.5,64.2
17,하,M,171.3,85.6
58,하,F,158.4,65.4
37,하,M,168.2,60.8
33,하,F,169.0,74.0
66,하,F,149.2,76.9
28,하,M,179.4,64.5
56,상,M,162.7,59.0
47,하,F,157.2,46.5
47,하,M,164.4,54.1
44,하,F,162.2,66.2
41,하,F,161.3,57.6
46,하,F,148.6,54.9
29,하,M,176.1,65.1
51,하,F,165.0,67.5
52,상,M,161.1,58.2
70,중,M,169.0,67.2
68,하,M,169.3,64.1
56,하,F,160.9,56.9
21,하,F,174.6,68.6
25,중,M,173.6,63.28
43,하,F,156.1,60.64
54,하,F,152.2,51.4
66,하,F,163.0,53.7
29,하,M,174.2,54.3
19,하,F,172.0,58.2
52,하,M,170.9,84.1
24,하,M,153.5,67.7
19,하,F,154.1,56.6
37,하,F,141.8,69.3
44,하,M,167.0,65.4
21,하,M,177.5,70.1
32,하,M,178.8,58.0
19,하,F,150.0,62.8
19,하,M,171.7,66.0
34,하,M,160.2,65.5
19,하,F,159.0,68.4
19,하,M,178.8,85.0
19,하,M,171.4,62.0
25,하,F,162.6,62.4
19,하,M,172.6,73.0
19,중,F,154.6,54.8
24,하,M,167.2,57.8
55,하,F,149.0,56.1
19,하,F,166.2,55.0
27,하,M,175.5,75.8
62,하,F,146.9,52.76
73,하,F,161.0,62.8
30,하,F,159.0,57.0
46,하,F,163.0,64.8
62,하,F,156.0,52.44
27,하,F,155.8,56.4
42,하,M,164.5,63.0
54,하,F,159.5,51.4
17,하,M,173.0,107.5
33,하,F,158.8,50.8
28,하,M,173.3,69.2
16,하,M,167.0,56.9
17,중,M,175.3,64.0
18,하,M,170.0,68.5
18,하,M,173.3,60.0
17,하,M,181.8,72.7
18,하,M,168.3,58.5
18,하,M,165.7,80.2
18,하,M,174.5,58.0
18,하,M,176.3,71.0
18,하,M,173.2,70.0
18,하,M,170.0,73.0
18,하,M,181.4,86.3
18,하,M,176.2,58.0
18,하,M,176.4,48.1
17,하,M,178.8,76.0
18,하,M,171.0,81.5
18,하,M,182.5,126.0
16,하,F,165.3,61.4
58,상,F,152.4,53.0
61,하,F,159.0,60.2
61,중,F,163.0,63.2
55,하,F,162.0,61.0
56,하,F,151.3,55.2
65,중,F,159.0,59.5
77,중,M,162.8,55.7
20,하,M,172.0,56.0
51,하,F,159.1,68.0
21,하,M,175.1,76.0
19,하,M,179.0,70.1
43,상,M,171.0,70.0
64,하,F,145.9,57.04
34,하,F,66.3,66.2
71,상,F,163.0,64.68
19,하,F,158.8,56.7
17,하,M,180.7,80.5
18,하,M,173.6,64.2
18,하,M,175.8,82.3
18,하,M,170.3,52.0
18,하,M,175.0,64.3
18,하,M,161.4,63.1
18,하,M,158.2,58.1
18,하,M,175.3,70.4
18,하,M,180.5,79.1
17,하,M,171.5,63.4
17,하,M,178.0,86.6
17,하,M,185.8,75.7
18,하,M,168.5,60.5
18,하,M,166.0,83.7
31,하,M,204.0,101.3
18,하,M,177.0,63.8
23,하,F,162.7,55.3
22,중,F,165.8,53.0
18,중,M,168.0,63.0
18,하,M,170.0,83.0
18,하,M,167.3,70.7
18,하,M,181.0,69.9
18,하,M,183.0,80.0
18,하,M,176.0,63.0
18,하,M,176.0,97.0
18,하,M,174.0,59.0
18,하,M,171.0,92.2
18,하,M,176.0,71.0
18,하,M,167.0,60.2
18,하,M,168.0,74.2
18,하,M,171.0,53.0
18,하,M,181.0,68.4
18,하,M,182.0,83.0
41,하,F,158.5,63.2
55,중,F,153.6,68.8
15,하,F,160.0,56.4
19,하,F,159.0,55.0
18,하,M,167.0,53.0
18,하,M,178.0,70.0
18,중,M,167.0,49.0
18,하,M,170.0,63.2
18,하,M,167.0,52.6
18,하,M,179.0,68.6
18,하,M,163.0,54.5
18,하,M,182.0,72.3
18,하,M,170.0,67.0
17,하,M,180.0,81.2
18,하,M,176.0,107.8
18,하,M,174.0,65.7
17,하,M,172.0,64.4
18,하,M,178.0,78.6
18,하,M,175.0,60.8
18,하,M,173.0,60.7
18,하,M,170.0,57.4
18,하,M,174.0,106.8
18,하,M,170.0,55.6
18,하,M,170.0,59.6
18,하,M,180.0,84.9
18,하,M,175.0,84.6
18,하,M,160.0,61.0
18,하,M,186.0,87.1
16,하,M,179.0,68.0
18,하,M,170.0,67.0
18,하,M,166.8,76.5
18,하,M,183.0,90.0
18,하,M,182.0,69.1
18,하,M,171.0,77.4
18,하,M,178.0,75.0
17,하,M,178.0,56.8
18,하,M,171.8,102.9
18,하,M,167.0,74.7
18,하,M,170.0,55.0
17,하,M,180.3,62.6
18,하,M,168.0,68.4
17,중,M,166.0,65.7
40,하,F,162.0,48.1
18,하,M,164.0,42.3
39,하,F,154.7,57.5
18,하,M,174.7,74.0
18,하,M,179.0,108.3
18,하,M,163.1,67.0
18,하,M,182.0,68.8
18,하,M,168.0,64.4
18,하,M,173.0,87.6
18,하,M,164.0,49.0
18,하,M,171.0,69.3
18,하,M,163.0,57.5
18,하,M,173.8,68.0
18,하,M,173.0,60.0
18,하,M,180.0,97.0
18,하,M,174.0,69.2
18,하,M,169.0,61.9
18,하,M,168.0,83.2
18,하,M,181.0,123.5
17,하,M,172.0,68.4
18,하,M,171.4,49.4
18,하,M,171.0,62.0
18,하,M,184.4,93.1
18,하,M,172.0,71.5
18,하,M,171.7,65.4
18,하,M,173.0,112.0
18,하,M,166.0,56.6
18,하,M,175.0,68.0
18,하,M,181.0,105.2
18,하,M,181.0,82.2
18,하,M,173.0,67.5
18,하,M,165.4,66.0
28,하,F,169.4,56.4
18,하,M,167.0,58.2
22,하,M,172.2,71.1
52,하,F,163.0,59.0
18,하,M,177.0,111.2
66,상,F,152.8,54.8
35,중,F,157.5,47.6
45,하,F,155.3,53.8
39,하,M,158.9,69.2
20,하,F,164.2,51.8
57,상,F,158.3,47.9
35,중,F,170.0,55.2
57,하,F,154.2,57.7
19,하,F,166.5,66.9
32,하,F,163.0,61.1
48,하,F,152.0,63.9
23,하,F,169.2,60.28
47,하,M,175.0,73.0
57,하,F,151.0,65.5
47,하,F,162.1,54.0
61,중,F,156.5,62.4
60,하,F,153.0,48.8
39,하,F,157.0,74.2
39,하,F,169.6,60.3
27,하,F,150.3,62.1
30,중,F,165.5,66.8
38,상,F,157.1,51.9
44,하,F,149.1,118.0
36,중,F,159.0,52.5
54,하,F,149.7,68.9
61,하,F,151.5,51.7
20,하,F,170.9,56.4
43,하,M,157.0,59.3
20,하,F,161.0,46.9
52,중,M,156.6,56.5
50,상,M,155.4,49.9
21,하,F,160.8,63.8
50,하,F,154.2,51.3
49,하,F,162.2,62.5
33,하,M,159.4,66.4
39,하,F,155.2,65.5
30,하,F,162.9,58.7
44,하,F,155.6,55.3
49,하,M,180.7,75.5
44,하,M,161.3,49.4
37,하,F,152.3,53.7
26,하,F,164.2,80.3
41,하,M,165.2,61.0
49,하,F,158.6,60.8
43,하,F,165.2,60.1
31,하,F,159.3,56.3
28,하,F,160.9,55.47
13,중,M,168.5,59.7
14,하,M,176.0,67.2
15,하,M,187.2,81.3
14,하,M,174.4,72.2
14,하,M,177.8,59.8
13,중,M,159.5,49.8
13,하,M,170.8,60.6
13,하,M,165.0,55.2
14,하,M,153.7,55.7
14,하,M,178.1,81.9
15,하,M,174.6,57.3
45,하,F,163.1,61.5
44,하,F,153.6,74.5
46,하,F,158.7,59.2
22,중,F,157.4,56.2
39,중,F,159.1,57.8
73,하,F,162.2,65.4
43,하,F,157.3,58.2
67,하,F,155.5,68.8
15,하,M,171.5,55.7
15,하,M,163.0,53.7
15,하,M,178.8,83.0
15,하,M,177.5,62.4
15,하,M,169.5,75.4
15,하,M,170.0,65.6
15,하,M,174.0,50.3
15,하,M,164.5,50.3
15,하,M,175.5,66.1
15,하,M,173.3,76.9
15,하,M,171.5,60.8
15,하,M,171.8,80.4
15,하,M,177.0,69.25
15,하,M,167.8,57.8
15,하,M,182.5,96.0
15,하,M,167.8,46.5
15,하,M,165.7,63.0
15,하,M,164.4,44.1
15,하,M,174.7,71.2
15,하,M,168.0,54.3
72,상,F,154.0,51.6
15,하,M,180.4,84.4
71,하,F,161.5,64.2
15,상,M,175.0,62.1
15,하,M,173.3,49.3
72,상,F,152.5,57.1
15,하,M,169.8,65.4
48,하,F,159.2,63.4
15,하,M,171.0,55.6
15,하,M,160.7,46.5
39,하,F,156.9,49.4
15,하,M,173.0,60.1
37,상,F,157.5,59.7
58,중,M,163.9,69.0
43,하,F,149.8,64.1
46,하,F,159.8,74.2
42,중,F,156.5,61.8
60,하,M,162.5,62.5
64,하,M,166.4,64.8
41,하,F,158.3,56.1
33,하,F,167.6,66.98
53,하,F,156.4,51.1
67,중,F,160.5,71.8
44,중,F,154.4,54.6
38,중,F,159.8,49.4
53,하,F,154.5,66.38
61,하,F,160.4,55.9
63,하,F,157.2,62.0
55,중,F,153.9,55.0
49,하,F,157.7,66.3
61,하,F,156.2,55.4
79,하,M,161.0,53.2
70,중,F,153.1,57.9
38,하,M,175.8,73.1
34,하,F,159.8,66.76
65,중,F,155.6,53.2
16,하,F,153.0,60.86
24,하,M,182.7,83.98
73,하,F,152.5,50.4
46,하,F,164.0,56.7
57,하,M,172.0,82.0
71,중,M,158.0,61.1
28,하,M,177.0,78.8
66,하,F,147.0,52.7
70,하,F,155.0,53.4
58,하,F,162.0,59.8
59,하,F,150.4,49.76
70,하,M,171.5,82.5
59,하,F,160.0,59.3
66,하,F,148.4,48.14
44,하,F,158.0,53.7
54,중,F,151.0,50.3
70,상,M,166.8,69.5
70,하,F,151.7,63.1
14,하,F,151.5,43.8
14,중,F,162.5,43.69
14,하,F,158.0,51.2
14,하,F,167.4,69.6
14,하,F,157.5,53.6
14,하,F,159.5,43.9
64,하,F,147.7,61.22
14,하,F,163.3,62.7
14,중,F,153.4,52.4
13,하,F,156.8,48.4
14,하,F,155.3,45.6
14,하,F,158.8,39.8
14,하,F,163.0,62.2
14,중,F,165.5,50.1
14,하,F,154.5,45.6
14,하,F,153.6,56.3
72,하,F,158.0,63.5
36,하,M,178.3,83.38
59,하,M,159.3,60.8
52,중,F,163.0,58.2
42,하,F,162.5,54.9
45,하,F,147.5,50.2
61,하,F,149.0,51.4
48,중,F,169.5,58.16
14,하,F,173.0,46.3
14,하,F,149.6,54.5
13,하,F,169.4,84.6
14,하,F,163.0,67.3
14,하,F,165.5,60.5
14,하,F,157.8,47.0
14,하,F,160.0,52.5
14,하,F,162.2,70.7
14,하,F,161.3,81.0
14,하,F,151.5,43.1
14,하,F,162.8,47.7
72,상,M,171.9,57.28
13,하,F,165.0,54.5
18,하,M,169.9,60.44
18,하,M,168.1,85.2
18,하,M,175.4,50.6
18,하,M,179.0,63.8
45,하,M,166.0,59.6
36,하,M,172.0,66.5
44,하,F,160.0,57.7
22,하,F,156.0,48.9
37,하,F,154.0,42.0
56,중,F,154.6,66.44
53,하,F,156.1,53.7
17,하,M,177.6,72.7
18,하,M,172.0,59.7
18,하,M,172.0,80.8
18,하,M,169.0,85.5
18,하,M,174.4,74.1
18,하,M,187.0,98.0
18,하,M,178.0,63.0
18,하,M,171.1,70.0
18,하,M,178.0,64.2
18,하,M,174.0,67.6
18,중,M,172.4,80.1
18,하,M,176.0,72.0
18,하,M,172.0,72.1
18,하,M,160.0,76.1
18,하,M,177.8,65.3
18,하,M,176.0,63.0
18,하,M,180.0,93.7
18,하,M,174.0,70.4
18,하,M,172.0,59.0
18,하,M,171.6,71.7
18,하,M,172.0,46.0
18,하,M,178.6,63.7
17,하,M,169.1,57.1
17,하,M,168.0,62.0
18,하,M,182.0,73.0
18,하,M,176.6,93.9
15,하,M,165.0,45.5
15,하,M,160.5,42.5
15,하,F,153.0,38.7
14,중,M,159.0,58.1
14,하,M,160.3,44.8
14,하,M,173.4,84.3
14,하,M,157.0,51.2
14,하,M,177.6,72.8
23,중,F,159.1,50.7
22,상,F,163.2,54.6
19,하,M,181.1,82.46
57,하,F,159.4,57.8
65,하,F,152.6,46.7
19,하,F,160.2,57.2
19,하,M,165.6,65.4
13,하,M,164.5,52.2
19,하,F,151.8,51.1
20,하,F,163.0,52.7
19,하,F,164.9,44.0
24,하,M,180.8,82.7
26,중,M,178.2,72.1
14,하,F,160.4,36.8
14,하,M,157.6,64.1
14,하,F,156.2,52.4
14,하,F,167.3,57.7
77,하,F,146.1,47.9
78,하,F,145.3,42.6
73,하,F,142.8,48.1
71,하,F,147.3,48.6
71,하,F,157.5,63.6
69,하,M,159.7,65.1
61,하,F,164.0,67.6
67,하,F,156.0,56.6
73,하,F,155.0,61.4
73,하,F,155.0,55.5
62,상,M,174.4,73.9
62,하,M,177.5,83.4
58,중,M,163.2,55.5
56,중,F,160.0,63.4
50,중,F,159.0,57.3
61,하,F,158.7,62.9
14,하,M,159.4,40.8
37,하,M,167.0,59.6
14,하,M,164.8,50.4
14,하,M,163.7,66.4
14,하,F,158.4,61.1
29,하,M,169.5,91.3
20,하,M,177.4,76.4
32,하,M,148.0,56.4
74,하,F,152.0,57.8
21,하,M,180.4,86.8
40,하,F,157.8,70.7
20,하,M,178.1,77.7
42,중,F,158.3,51.4
66,하,F,152.8,66.7
51,하,F,157.5,26.8
30,하,F,159.3,71.8
48,중,F,157.3,65.1
52,하,F,155.7,56.2
49,하,F,156.5,59.0
66,하,F,146.7,52.1
26,중,M,178.2,68.4
22,하,M,172.8,53.88
48,중,F,155.2,47.3
26,하,M,175.0,88.0
37,하,M,158.0,59.7
45,하,M,174.0,76.7
70,하,F,176.0,74.1
47,하,F,149.8,47.8
20,하,F,156.0,56.7
76,하,M,159.0,73.5
15,하,M,162.1,47.4
15,하,M,178.1,65.8
15,하,M,174.5,61.0
15,하,M,175.3,58.6
15,하,M,182.8,97.3
15,하,M,156.9,40.0
15,하,F,155.7,50.4
15,중,F,154.6,50.5
14,하,F,164.1,49.2
15,하,F,154.2,49.1
15,중,F,164.5,52.2
15,하,M,175.0,55.8
15,하,M,166.1,47.0
15,하,M,171.7,86.9
15,하,M,173.9,69.8
25,상,F,158.1,56.12
22,하,F,157.7,66.0
19,하,F,155.9,51.32
26,하,M,169.0,56.56
38,하,F,162.4,63.76
56,하,F,154.8,59.52
56,하,M,173.2,75.54
45,상,F,156.0,48.7
73,하,F,150.0,56.2
73,하,F,157.0,59.4
69,하,F,159.0,70.2
74,하,M,166.7,60.7
75,상,F,162.0,46.2
68,하,F,160.3,59.3
61,중,M,172.6,71.2
76,중,M,165.0,65.8
63,하,F,155.2,47.5
59,하,F,153.8,51.1
78,하,M,164.8,61.9
78,중,F,156.3,44.5
81,하,M,169.0,75.2
31,하,M,161.2,76.25
44,하,F,165.0,62.9
51,하,F,155.0,53.0
41,하,F,167.0,56.1
67,중,F,153.2,54.5
76,하,F,138.0,41.2
73,하,M,178.2,69.4
77,상,M,168.0,58.0
59,하,F,151.6,58.58
69,하,M,161.0,72.8
22,하,M,175.2,69.0
22,하,M,171.6,54.1
22,하,M,179.1,60.0
20,하,M,169.8,58.6
14,하,F,159.9,53.9
14,하,M,162.2,46.2
14,하,F,152.8,42.2
14,하,F,159.0,50.0
14,하,M,175.7,80.3
14,하,F,154.5,49.1
14,하,M,160.9,54.8
15,하,F,160.3,78.3
14,하,F,161.9,61.8
14,하,M,176.2,96.8
18,하,M,171.5,63.94
13,하,M,163.6,46.3
13,하,M,165.9,57.0
13,하,M,157.4,61.8
15,하,F,158.0,47.4
19,중,F,159.8,62.0
20,하,F,165.0,56.1
19,상,F,170.0,64.6
19,하,M,181.0,58.8
20,하,M,170.5,61.6
19,하,F,161.6,63.1
20,하,M,172.0,86.0
19,하,F,155.2,56.1
19,하,F,167.0,59.2
19,하,M,173.2,74.8
19,중,F,167.0,55.5
19,하,M,182.7,64.5
19,하,M,173.7,62.4
19,하,M,170.0,63.8
19,하,M,174.7,84.2
19,하,M,170.4,66.4
22,하,M,164.8,72.2
53,하,F,154.1,62.0
21,하,M,160.9,59.1
57,하,F,156.9,61.5
61,중,F,150.4,56.5
56,하,F,157.7,64.78
19,하,F,157.3,46.1
23,하,F,153.0,57.2
65,중,F,164.4,66.1
20,하,F,161.2,60.9
19,하,F,151.8,45.6
63,하,M,161.0,72.0
56,하,F,159.5,63.9
58,중,F,159.0,52.1
56,하,F,143.0,49.9
62,중,F,157.0,58.5
58,하,M,169.2,74.4
63,하,F,156.6,58.5
20,하,M,172.7,63.42
51,하,M,175.0,93.7
52,하,F,165.9,52.5
53,하,M,165.0,73.4
63,하,F,154.8,64.98
58,하,F,152.8,49.9
62,하,F,150.3,51.5
63,하,F,154.1,49.46
30,상,M,172.8,59.2
14,하,F,147.9,38.0
14,하,M,185.0,76.2
14,하,F,167.8,58.7
57,하,F,149.4,52.88
58,하,F,155.3,68.9
27,하,M,161.6,51.7
71,하,F,153.0,56.3
14,하,M,167.7,53.3
74,하,F,146.0,53.0
14,중,M,170.9,72.1
23,하,M,174.6,77.2
14,하,F,155.4,54.2
14,하,F,162.9,66.2
15,중,M,164.7,53.9
19,하,F,162.0,51.7
19,하,F,155.0,49.0
19,하,F,174.2,64.3
19,하,F,162.0,44.0
38,하,M,176.8,75.6
22,하,F,168.1,57.8
15,하,F,154.1,57.94
17,하,F,158.5,46.06
66,하,F,154.0,53.9
18,하,M,170.4,60.1
23,하,M,184.9,85.08
23,하,M,177.3,82.64
68,하,F,154.7,49.38
59,하,F,163.6,57.5
44,하,F,155.6,46.3
44,하,F,158.8,50.7
42,하,M,168.0,72.0
63,하,F,154.5,56.3
22,하,F,165.0,45.4
19,하,F,159.0,57.6
55,하,M,173.3,69.9
37,하,M,178.5,80.0
39,하,M,169.8,66.3
34,하,M,166.0,72.7
20,하,M,171.0,63.2
25,하,F,171.6,64.8
29,하,F,161.8,53.6
29,하,M,158.0,57.8
20,하,F,155.2,50.3
39,중,F,158.7,63.2
20,하,F,154.6,59.2
20,하,F,154.0,59.9
20,중,F,152.1,49.1
30,하,M,174.5,105.9
43,중,M,177.0,75.9
25,중,M,168.0,66.3
20,하,M,164.5,61.0
20,하,F,165.0,78.3
20,하,F,153.0,58.1
53,하,F,162.0,71.8
25,하,M,172.0,86.9
22,중,F,168.4,59.6
50,상,F,161.0,44.2
45,중,F,165.0,57.7
24,하,M,168.9,54.0
21,하,F,173.0,61.3
44,하,M,170.0,70.8
37,중,M,171.0,70.3
29,중,M,169.7,78.3
39,하,M,170.6,68.6
20,하,F,150.0,55.6
20,하,M,174.7,66.6
57,하,F,161.4,59.3
19,하,F,161.6,64.04
19,하,F,166.5,66.3
68,하,F,151.5,58.64
63,하,F,151.3,58.2
58,하,F,156.6,64.6
65,상,F,149.3,60.46
71,하,F,154.0,63.72
21,하,F,161.4,51.42
35,하,M,173.3,83.8
56,중,F,153.0,52.58
53,하,F,154.7,48.62
57,중,F,158.5,59.54
35,하,F,161.7,58.25
58,하,F,147.0,48.62
68,중,M,174.5,75.6
15,하,M,167.3,58.2
54,하,F,158.0,55.4
13,하,F,158.7,53.5
13,하,F,165.2,68.1
13,하,M,155.9,39.7
13,하,F,161.6,49.9
13,하,M,166.8,47.7
13,중,M,167.0,54.2
13,중,F,157.6,43.8
13,하,F,149.0,42.4
13,하,M,164.5,75.7
13,하,F,156.3,52.6
47,하,F,169.1,65.4
59,하,M,161.0,62.6
81,하,F,140.0,46.0
37,하,F,168.5,56.8
52,하,F,148.4,64.0
55,하,M,166.5,70.6
81,하,F,144.0,53.6
38,하,M,167.5,64.5
81,하,F,138.0,52.9
62,하,M,168.0,71.7
66,하,F,156.0,62.5
41,하,M,172.0,67.5
72,하,F,155.0,52.9
76,하,F,147.0,60.9
23,하,M,173.4,70.0
49,하,F,151.6,49.5
60,하,F,163.0,54.52
78,하,F,143.0,55.3
56,하,M,166.0,62.4
40,하,F,158.0,57.8
66,하,M,169.0,85.6
38,하,M,173.0,92.1
45,하,M,173.0,78.0
46,하,F,157.0,57.9
29,하,F,159.0,62.6
21,하,M,166.8,61.5
20,하,F,165.0,58.7
56,하,M,175.4,64.1
21,중,F,166.3,61.1
66,하,M,153.4,52.14
59,하,F,165.0,65.0
26,하,M,165.6,69.82
14,하,F,162.2,54.5
34,하,F,165.0,60.0
20,하,M,167.4,56.9
20,하,M,171.6,76.6
71,하,F,147.1,60.1
69,하,F,149.5,55.26
24,하,M,173.2,67.5
20,하,M,173.5,92.6
63,하,F,156.9,64.0
55,하,F,149.7,52.3
20,하,M,180.1,72.7
84,중,F,147.7,52.6
62,하,F,155.5,60.2
44,하,F,159.0,59.2
64,하,F,164.9,64.3
58,하,F,152.0,56.4
58,하,M,167.1,66.5
61,하,F,157.0,48.6
59,하,F,159.0,58.7
59,하,F,160.0,59.2
62,하,F,152.0,55.0
61,하,F,154.0,55.6
64,하,M,164.0,76.4
40,하,F,164.1,66.8
64,하,F,149.4,58.4
39,하,F,159.4,60.6
57,하,M,166.6,76.0
39,하,F,162.5,60.1
31,하,M,164.5,66.7
57,하,F,149.0,78.0
60,상,M,176.0,68.5
64,하,M,158.0,69.9
73,중,M,160.0,66.5
51,하,M,166.0,54.5
75,하,M,171.0,73.0
48,하,M,174.0,76.0
50,하,M,177.0,78.2
64,하,F,155.0,67.5
66,중,M,166.0,66.0
76,상,M,166.0,58.0
53,하,M,179.0,77.1
67,하,F,155.0,63.1
53,하,F,160.0,59.4
55,하,F,153.5,50.9
51,하,F,159.0,56.9
46,하,F,161.0,48.1
27,하,M,169.0,65.1
63,하,F,159.0,52.8
45,하,F,165.0,61.0
42,하,M,173.0,75.8
22,하,M,172.0,59.1
66,하,F,156.0,64.6
64,하,M,172.0,71.1
46,하,M,175.3,75.9
40,하,F,163.0,61.7
19,하,M,175.0,71.2
19,하,F,157.0,57.8
20,하,F,153.0,49.6
54,하,M,168.0,60.9
51,하,M,162.0,67.7
50,하,M,169.0,77.1
57,하,M,175.0,71.7
31,하,M,172.0,80.8
69,하,F,154.0,56.3
54,하,F,159.0,60.7
37,하,F,157.0,53.4
71,하,F,158.0,64.2
51,하,F,152.0,53.4
33,하,M,169.0,69.1
69,하,F,164.0,62.2
39,하,M,172.0,77.0
55,하,M,170.0,66.0
19,하,M,176.0,62.5
19,하,M,167.0,63.3
61,하,F,159.0,64.2
52,하,M,170.0,64.4
58,하,F,155.3,67.4
47,하,F,151.0,49.4
60,하,M,172.0,74.1
52,하,F,155.0,56.6
52,하,F,162.0,66.5
29,하,M,173.0,79.5
60,하,M,175.0,80.0
32,하,M,171.0,84.5
28,하,F,168.7,54.5
29,하,F,160.2,56.8
67,중,F,160.0,69.7
71,중,F,154.0,48.7
70,중,M,161.0,60.5
66,하,M,166.7,71.2
78,하,M,163.0,61.7
72,하,M,172.5,89.3
69,중,F,155.3,52.7
71,하,F,155.0,78.3
74,하,M,164.2,63.2
59,하,M,167.0,72.0
66,하,F,143.8,56.7
42,하,F,158.2,57.4
35,하,M,176.5,79.2
63,하,F,159.1,57.2
21,중,F,159.0,54.0
21,하,F,162.4,52.8
71,하,F,156.0,66.1
39,하,F,150.0,67.0
72,하,F,157.0,67.2
69,하,M,166.8,50.06
52,하,F,157.5,60.0
25,하,M,168.4,69.9
31,하,M,169.6,73.7
67,하,F,145.0,48.0
22,하,F,151.6,53.0
66,하,F,156.0,65.6
68,중,F,158.0,56.0
71,하,F,155.0,51.0
69,하,F,149.0,51.6
74,하,F,158.0,54.8
65,중,F,147.0,67.3
71,하,M,168.0,57.8
54,하,F,159.0,67.8
50,하,F,156.6,47.3
67,하,M,174.1,88.06
79,하,M,167.1,65.92
21,하,M,172.0,69.4
19,하,M,172.0,63.4
81,하,M,166.4,72.52
14,하,F,159.8,60.0
46,상,F,161.4,52.5
52,하,M,167.9,61.2
26,하,F,160.0,84.7
70,하,F,154.5,50.22
48,하,F,156.5,61.7
26,하,F,160.0,77.3
15,하,M,170.7,59.7
20,하,F,162.8,62.1
77,하,F,150.0,46.6
33,하,F,161.0,53.52
67,하,F,151.5,58.2
63,하,F,150.8,50.4
63,하,F,155.2,68.0
78,하,F,149.5,39.0
23,하,M,177.7,67.12
20,하,M,173.0,78.4
35,하,F,153.3,54.2
79,하,M,161.0,67.2
41,하,F,159.5,56.8
23,하,M,168.0,81.1
66,하,F,143.0,54.9
22,하,M,175.0,76.5
42,하,F,165.6,59.7
47,상,M,180.7,83.2
27,하,M,183.1,82.94
76,하,M,173.0,69.3
72,중,M,167.0,55.9
44,하,F,151.6,50.4
19,하,M,181.2,84.0
